ticket_id,account_id,created_date,quarter,channel,category,priority,status,csat,subject,description
TCK-00001,ACME,2026-01-20,Q1-2026,Correo,Facturación,P3,Resuelto,3,Duda sobre el cobro de asientos adicionales,Vemos un incremento en el monto facturado. ¿Pueden detallar el desglose de asientos y el prorrateo aplicado este mes?
TCK-00002,ACME,2026-01-01,Q1-2026,Portal,Consulta / Cómo hacer,P3,Escalado,3,Configuración de notificaciones,Quisiéramos ajustar las notificaciones por correo de Nimbus Core. ¿Dónde se configura el umbral de alertas?
TCK-00003,ACME,2026-01-09,Q1-2026,Chat,Solicitud de función,P3,Resuelto,4,Reportes personalizados por área,Solicitamos poder crear reportes personalizados y programar su envío. Es una función clave para que nuestra dirección adopte la herramienta.
TCK-00004,ACME,2026-01-07,Q1-2026,Teléfono,Facturación,P2,Resuelto,5,Duda sobre el cobro de asientos adicionales,Vemos un incremento en el monto facturado. ¿Pueden detallar el desglose de asientos y el prorrateo aplicado este mes?
TCK-00005,ACME,2026-02-20,Q1-2026,Teléfono,Solicitud de función,P4,Escalado,5,Necesitamos exportar reportes a Excel,Nuestro equipo necesita exportar los tableros de Nimbus Connect (API) a Excel y PDF de forma nativa. Hoy lo hacemos manualmente y consume mucho tiempo. ¿Está en el roadmap?
TCK-00006,ACME,2026-02-19,Q1-2026,Correo,Rendimiento,P2,En curso,5,Latencia alta en la API,Las respuestas de Nimbus Core superan los 8 segundos de latencia de forma constante. Necesitamos que esto se investigue porque rompe nuestras integraciones.
TCK-00007,ACME,2026-03-27,Q1-2026,Teléfono,Solicitud de función,P4,Escalado,5,Necesitamos exportar reportes a Excel,Nuestro equipo necesita exportar los tableros de Nimbus Connect (API) a Excel y PDF de forma nativa. Hoy lo hacemos manualmente y consume mucho tiempo. ¿Está en el roadmap?
TCK-00008,ACME,2026-03-03,Q1-2026,Teléfono,Rendimiento,P3,Resuelto,5,Lentitud severa al cargar reportes,Los reportes en Nimbus Connect (API) tardan más de 90 minutos en cargar. Antes era cuestión de segundos. La degradación de rendimiento está afectando a nuestros analistas.
TCK-00009,ACME,2026-03-13,Q1-2026,Chat,Rendimiento,P3,Resuelto,4,Lentitud severa al cargar reportes,Los reportes en Nimbus Core tardan más de 90 minutos en cargar. Antes era cuestión de segundos. La degradación de rendimiento está afectando a nuestros analistas.
TCK-00010,ACME,2026-03-01,Q1-2026,Portal,Rendimiento,P2,Escalado,3,Lentitud severa al cargar reportes,Los reportes en Nimbus Connect (API) tardan más de 120 minutos en cargar. Antes era cuestión de segundos. La degradación de rendimiento está afectando a nuestros analistas.
TCK-00011,ACME,2026-04-07,Q2-2026,Chat,Caída del servicio,P2,En curso,2,Caída durante horario crítico,El servicio se cayó justo durante nuestro cierre de turno. La falta de disponibilidad nos costó varias horas de trabajo. Solicitamos un reporte post-incidente formal.
TCK-00012,ACME,2026-04-15,Q2-2026,Portal,Caída del servicio,P2,Escalado,1,Intermitencias y errores 500,Desde esta mañana Nimbus Core responde de forma intermitente con errores 500. Es la segunda caída este mes y nuestro equipo de operaciones está muy molesto. ¿Pueden confirmar si hay un incidente abierto?
TCK-00013,ACME,2026-04-01,Q2-2026,Portal,Rendimiento,P3,En curso,1,Lentitud severa al cargar reportes,Los reportes en Nimbus Connect (API) tardan más de 90 minutos en cargar. Antes era cuestión de segundos. La degradación de rendimiento está afectando a nuestros analistas.
TCK-00014,ACME,2026-04-06,Q2-2026,Chat,Rendimiento,P2,Resuelto,1,Lentitud severa al cargar reportes,Los reportes en Nimbus Connect (API) tardan más de 90 minutos en cargar. Antes era cuestión de segundos. La degradación de rendimiento está afectando a nuestros analistas.
TCK-00015,ACME,2026-04-19,Q2-2026,Portal,Caída del servicio,P2,Resuelto,1,Servicio caído en producción,El panel de Nimbus Connect (API) lleva 20 minutos inaccesible para todo nuestro equipo. Recibimos error 503 al iniciar sesión. Esto está bloqueando la operación diaria; necesitamos una solución urgente y una explicación de la causa raíz.
TCK-00016,ACME,2026-04-16,Q2-2026,Portal,Caída del servicio,P2,Escalado,2,Intermitencias y errores 500,Desde esta mañana Nimbus Connect (API) responde de forma intermitente con errores 500. Es la tercera caída este mes y nuestro equipo de operaciones está muy molesto. ¿Pueden confirmar si hay un incidente abierto?
TCK-00017,ACME,2026-04-07,Q2-2026,Correo,Bug / Error,P3,Resuelto,2,Los filtros del tablero no se guardan,"Al aplicar filtros en los reportes de Nimbus Connect (API) y recargar, se pierden. Parece un bug reciente; antes funcionaba bien."
TCK-00018,ACME,2026-04-18,Q2-2026,Correo,Caída del servicio,P2,Resuelto,1,Servicio caído en producción,El panel de Nimbus Analytics lleva 20 minutos inaccesible para todo nuestro equipo. Recibimos error 503 al iniciar sesión. Esto está bloqueando la operación diaria; necesitamos una solución urgente y una explicación de la causa raíz.
TCK-00019,ACME,2026-04-24,Q2-2026,Teléfono,Facturación,P2,Resuelto,1,Discrepancia en la factura del mes,"La factura de este periodo no coincide con lo acordado. Aparecen cargos que no reconocemos. Solicitamos revisión y, de proceder, una nota de crédito."
TCK-00020,ACME,2026-04-01,Q2-2026,Correo,Caída del servicio,P1,Escalado,1,Servicio caído en producción,El panel de Nimbus Connect (API) lleva 120 minutos inaccesible para todo nuestro equipo. Recibimos error 503 al iniciar sesión. Esto está bloqueando la operación diaria; necesitamos una solución urgente y una explicación de la causa raíz.
TCK-00021,ACME,2026-04-24,Q2-2026,Correo,Facturación,P3,En curso,3,Solicitud de nota de crédito por incidencias,"Dado el tiempo de inactividad acumulado este trimestre, solicitamos formalmente una nota de crédito conforme al SLA de nuestro contrato."
TCK-00022,ACME,2026-04-21,Q2-2026,Teléfono,Caída del servicio,P1,Resuelto,2,Caída durante horario crítico,El servicio se cayó justo durante nuestro cierre de turno. La falta de disponibilidad nos costó varias horas de trabajo. Solicitamos un reporte post-incidente formal.
TCK-00023,ACME,2026-04-10,Q2-2026,Correo,Caída del servicio,P2,Resuelto,2,Intermitencias y errores 500,Desde esta mañana Nimbus Core responde de forma intermitente con errores 500. Es la tercera caída este mes y nuestro equipo de operaciones está muy molesto. ¿Pueden confirmar si hay un incidente abierto?
TCK-00024,ACME,2026-05-05,Q2-2026,Teléfono,Bug / Error,P3,Resuelto,2,Los filtros del tablero no se guardan,"Al aplicar filtros en los reportes de Nimbus Core y recargar, se pierden. Parece un bug reciente; antes funcionaba bien."
TCK-00025,ACME,2026-05-29,Q2-2026,Correo,Caída del servicio,P1,Resuelto,3,Caída durante horario crítico,El servicio se cayó justo durante nuestro cierre de turno. La falta de disponibilidad nos costó varias horas de trabajo. Solicitamos un reporte post-incidente formal.
TCK-00026,ACME,2026-05-11,Q2-2026,Portal,Facturación,P3,Resuelto,2,Discrepancia en la factura del mes,"La factura de este periodo no coincide con lo acordado. Aparecen cargos que no reconocemos. Solicitamos revisión y, de proceder, una nota de crédito."
TCK-00027,ACME,2026-05-03,Q2-2026,Correo,Caída del servicio,P1,Escalado,2,Servicio caído en producción,El panel de Nimbus Connect (API) lleva 45 minutos inaccesible para todo nuestro equipo. Recibimos error 503 al iniciar sesión. Esto está bloqueando la operación diaria; necesitamos una solución urgente y una explicación de la causa raíz.
TCK-00028,ACME,2026-05-03,Q2-2026,Chat,Facturación,P3,En curso,1,Solicitud de nota de crédito por incidencias,"Dado el tiempo de inactividad acumulado este trimestre, solicitamos formalmente una nota de crédito conforme al SLA de nuestro contrato."
TCK-00029,ACME,2026-05-26,Q2-2026,Correo,Rendimiento,P2,Resuelto,3,Latencia alta en la API,Las respuestas de Nimbus Analytics superan los 8 segundos de latencia de forma constante. Necesitamos que esto se investigue porque rompe nuestras integraciones.
TCK-00030,ACME,2026-05-19,Q2-2026,Chat,Caída del servicio,P1,Escalado,3,Servicio caído en producción,El panel de Nimbus Connect (API) lleva 90 minutos inaccesible para todo nuestro equipo. Recibimos error 503 al iniciar sesión. Esto está bloqueando la operación diaria; necesitamos una solución urgente y una explicación de la causa raíz.
TCK-00031,ACME,2026-05-25,Q2-2026,Chat,Caída del servicio,P2,Resuelto,2,Intermitencias y errores 500,Desde esta mañana Nimbus Connect (API) responde de forma intermitente con errores 500. Es la cuarta caída este mes y nuestro equipo de operaciones está muy molesto. ¿Pueden confirmar si hay un incidente abierto?
TCK-00032,ACME,2026-05-22,Q2-2026,Chat,Bug / Error,P2,En curso,1,Los filtros del tablero no se guardan,"Al aplicar filtros en los reportes de Nimbus Core y recargar, se pierden. Parece un bug reciente; antes funcionaba bien."
TCK-00033,ACME,2026-05-17,Q2-2026,Correo,Facturación,P2,Resuelto,1,Duda sobre el cobro de asientos adicionales,Vemos un incremento en el monto facturado. ¿Pueden detallar el desglose de asientos y el prorrateo aplicado este mes?
TCK-00034,ACME,2026-06-29,Q2-2026,Portal,Consulta / Cómo hacer,P3,Resuelto,1,¿Cómo asigno roles a un nuevo usuario?,Estamos sumando gente al equipo y queremos entender cómo asignar permisos por rol en Nimbus Connect (API). ¿Hay una guía paso a paso?
TCK-00035,ACME,2026-06-11,Q2-2026,Correo,Rendimiento,P2,Resuelto,1,Latencia alta en la API,Las respuestas de Nimbus Connect (API) superan los 8 segundos de latencia de forma constante. Necesitamos que esto se investigue porque rompe nuestras integraciones.
TCK-00036,ACME,2026-06-17,Q2-2026,Teléfono,Bug / Error,P2,Resuelto,2,Los filtros del tablero no se guardan,"Al aplicar filtros en los reportes de Nimbus Connect (API) y recargar, se pierden. Parece un bug reciente; antes funcionaba bien."
TCK-00037,ACME,2026-06-25,Q2-2026,Chat,Consulta / Cómo hacer,P3,Resuelto,2,¿Cómo asigno roles a un nuevo usuario?,Estamos sumando gente al equipo y queremos entender cómo asignar permisos por rol en Nimbus Core. ¿Hay una guía paso a paso?
TCK-00038,ACME,2026-06-18,Q2-2026,Correo,Facturación,P3,En curso,1,Solicitud de nota de crédito por incidencias,"Dado el tiempo de inactividad acumulado este trimestre, solicitamos formalmente una nota de crédito conforme al SLA de nuestro contrato."
TCK-00039,ACME,2026-06-25,Q2-2026,Portal,Bug / Error,P3,Escalado,3,Los filtros del tablero no se guardan,"Al aplicar filtros en los reportes de Nimbus Core y recargar, se pierden. Parece un bug reciente; antes funcionaba bien."
TCK-00040,ACME,2026-06-17,Q2-2026,Teléfono,Caída del servicio,P1,Escalado,1,Servicio caído en producción,El panel de Nimbus Analytics lleva 90 minutos inaccesible para todo nuestro equipo. Recibimos error 503 al iniciar sesión. Esto está bloqueando la operación diaria; necesitamos una solución urgente y una explicación de la causa raíz.
TCK-00041,ACME,2026-06-21,Q2-2026,Chat,Facturación,P2,Resuelto,3,Duda sobre el cobro de asientos adicionales,Vemos un incremento en el monto facturado. ¿Pueden detallar el desglose de asientos y el prorrateo aplicado este mes?
TCK-00042,ACME,2026-06-02,Q2-2026,Correo,Caída del servicio,P1,Resuelto,3,Caída durante horario crítico,El servicio se cayó justo durante nuestro cierre de turno. La falta de disponibilidad nos costó varias horas de trabajo. Solicitamos un reporte post-incidente formal.
TCK-00043,ACME,2026-06-07,Q2-2026,Portal,Rendimiento,P2,Resuelto,3,Lentitud severa al cargar reportes,Los reportes en Nimbus Analytics tardan más de 20 minutos en cargar. Antes era cuestión de segundos. La degradación de rendimiento está afectando a nuestros analistas.
TCK-00044,ACME,2026-06-09,Q2-2026,Chat,Rendimiento,P2,En curso,1,Lentitud severa al cargar reportes,Los reportes en Nimbus Connect (API) tardan más de 90 minutos en cargar. Antes era cuestión de segundos. La degradación de rendimiento está afectando a nuestros analistas.
TCK-00045,ACME,2026-06-03,Q2-2026,Teléfono,Rendimiento,P2,Resuelto,1,Latencia alta en la API,Las respuestas de Nimbus Analytics superan los 8 segundos de latencia de forma constante. Necesitamos que esto se investigue porque rompe nuestras integraciones.
TCK-00046,ACME,2026-06-07,Q2-2026,Chat,Facturación,P3,Resuelto,1,Discrepancia en la factura del mes,"La factura de este periodo no coincide con lo acordado. Aparecen cargos que no reconocemos. Solicitamos revisión y, de proceder, una nota de crédito."
TCK-00047,ACME,2026-06-03,Q2-2026,Portal,Rendimiento,P2,En curso,3,Latencia alta en la API,Las respuestas de Nimbus Connect (API) superan los 8 segundos de latencia de forma constante. Necesitamos que esto se investigue porque rompe nuestras integraciones.
TCK-00048,GLOBEX,2026-01-09,Q1-2026,Correo,Solicitud de función,P4,Resuelto,5,Necesitamos exportar reportes a Excel,Nuestro equipo necesita exportar los tableros de Nimbus Core a Excel y PDF de forma nativa. Hoy lo hacemos manualmente y consume mucho tiempo. ¿Está en el roadmap?
TCK-00049,GLOBEX,2026-01-20,Q1-2026,Correo,Solicitud de función,P3,Resuelto,4,Tableros con métricas en tiempo real,Queremos tableros con métricas en tiempo real. La actualización actual cada hora se queda corta para nuestro caso de uso.
TCK-00050,GLOBEX,2026-01-11,Q1-2026,Correo,Integración / API,P2,Resuelto,4,Error de autenticación con el webhook,Nuestro webhook hacia Nimbus Analytics devuelve 401 de forma aleatoria. Revisamos las llaves y parecen correctas. ¿Pueden ayudarnos a depurar la autenticación?
TCK-00051,GLOBEX,2026-02-10,Q1-2026,Teléfono,Solicitud de función,P3,Escalado,5,Tableros con métricas en tiempo real,Queremos tableros con métricas en tiempo real. La actualización actual cada hora se queda corta para nuestro caso de uso.
TCK-00052,GLOBEX,2026-02-06,Q1-2026,Correo,Solicitud de función,P3,En curso,4,Necesitamos exportar reportes a Excel,Nuestro equipo necesita exportar los tableros de Nimbus Connect (API) a Excel y PDF de forma nativa. Hoy lo hacemos manualmente y consume mucho tiempo. ¿Está en el roadmap?
TCK-00053,GLOBEX,2026-02-08,Q1-2026,Portal,Solicitud de función,P4,Resuelto,4,Necesitamos exportar reportes a Excel,Nuestro equipo necesita exportar los tableros de Nimbus Analytics a Excel y PDF de forma nativa. Hoy lo hacemos manualmente y consume mucho tiempo. ¿Está en el roadmap?
TCK-00054,GLOBEX,2026-02-26,Q1-2026,Teléfono,Solicitud de función,P3,Resuelto,4,Necesitamos exportar reportes a Excel,Nuestro equipo necesita exportar los tableros de Nimbus Analytics a Excel y PDF de forma nativa. Hoy lo hacemos manualmente y consume mucho tiempo. ¿Está en el roadmap?
TCK-00055,GLOBEX,2026-03-20,Q1-2026,Portal,Consulta / Cómo hacer,P3,Resuelto,5,¿Cómo asigno roles a un nuevo usuario?,Estamos sumando gente al equipo y queremos entender cómo asignar permisos por rol en Nimbus Analytics. ¿Hay una guía paso a paso?
TCK-00056,GLOBEX,2026-03-19,Q1-2026,Teléfono,Solicitud de función,P3,Resuelto,5,Reportes personalizados por área,Solicitamos poder crear reportes personalizados y programar su envío. Es una función clave para que nuestra dirección adopte la herramienta.
TCK-00057,GLOBEX,2026-03-06,Q1-2026,Teléfono,Solicitud de función,P4,Resuelto,5,Reportes personalizados por área,Solicitamos poder crear reportes personalizados y programar su envío. Es una función clave para que nuestra dirección adopte la herramienta.
TCK-00058,GLOBEX,2026-03-22,Q1-2026,Teléfono,Consulta / Cómo hacer,P3,Resuelto,5,Configuración de notificaciones,Quisiéramos ajustar las notificaciones por correo de Nimbus Analytics. ¿Dónde se configura el umbral de alertas?
TCK-00059,GLOBEX,2026-03-05,Q1-2026,Chat,Consulta / Cómo hacer,P4,En curso,4,Configuración de notificaciones,Quisiéramos ajustar las notificaciones por correo de Nimbus Analytics. ¿Dónde se configura el umbral de alertas?
TCK-00060,GLOBEX,2026-04-12,Q2-2026,Portal,Solicitud de función,P4,Resuelto,4,Necesitamos exportar reportes a Excel,Nuestro equipo necesita exportar los tableros de Nimbus Connect (API) a Excel y PDF de forma nativa. Hoy lo hacemos manualmente y consume mucho tiempo. ¿Está en el roadmap?
TCK-00061,GLOBEX,2026-04-29,Q2-2026,Chat,Integración / API,P3,En curso,4,Documentación de la API incompleta,Estamos integrando Nimbus Analytics con nuestro ERP y faltan ejemplos para el endpoint de facturación. ¿Tienen una guía actualizada?
TCK-00062,GLOBEX,2026-04-19,Q2-2026,Portal,Solicitud de función,P4,Resuelto,5,Necesitamos exportar reportes a Excel,Nuestro equipo necesita exportar los tableros de Nimbus Analytics a Excel y PDF de forma nativa. Hoy lo hacemos manualmente y consume mucho tiempo. ¿Está en el roadmap?
TCK-00063,GLOBEX,2026-04-17,Q2-2026,Chat,Solicitud de función,P4,Resuelto,5,Reportes personalizados por área,Solicitamos poder crear reportes personalizados y programar su envío. Es una función clave para que nuestra dirección adopte la herramienta.
TCK-00064,GLOBEX,2026-04-20,Q2-2026,Teléfono,Solicitud de función,P3,Resuelto,5,Tableros con métricas en tiempo real,Queremos tableros con métricas en tiempo real. La actualización actual cada hora se queda corta para nuestro caso de uso.
TCK-00065,GLOBEX,2026-05-26,Q2-2026,Teléfono,Integración / API,P2,Escalado,4,Documentación de la API incompleta,Estamos integrando Nimbus Analytics con nuestro ERP y faltan ejemplos para el endpoint de facturación. ¿Tienen una guía actualizada?
TCK-00066,GLOBEX,2026-05-24,Q2-2026,Chat,Integración / API,P2,Resuelto,4,Documentación de la API incompleta,Estamos integrando Nimbus Analytics con nuestro ERP y faltan ejemplos para el endpoint de facturación. ¿Tienen una guía actualizada?
TCK-00067,GLOBEX,2026-05-07,Q2-2026,Portal,Solicitud de función,P4,Resuelto,4,Tableros con métricas en tiempo real,Queremos tableros con métricas en tiempo real. La actualización actual cada hora se queda corta para nuestro caso de uso.
TCK-00068,GLOBEX,2026-05-01,Q2-2026,Correo,Consulta / Cómo hacer,P3,En curso,5,Configuración de notificaciones,Quisiéramos ajustar las notificaciones por correo de Nimbus Connect (API). ¿Dónde se configura el umbral de alertas?
TCK-00069,GLOBEX,2026-05-10,Q2-2026,Teléfono,Solicitud de función,P3,Resuelto,5,Necesitamos exportar reportes a Excel,Nuestro equipo necesita exportar los tableros de Nimbus Analytics a Excel y PDF de forma nativa. Hoy lo hacemos manualmente y consume mucho tiempo. ¿Está en el roadmap?
TCK-00070,GLOBEX,2026-05-09,Q2-2026,Portal,Consulta / Cómo hacer,P3,Resuelto,4,Configuración de notificaciones,Quisiéramos ajustar las notificaciones por correo de Nimbus Analytics. ¿Dónde se configura el umbral de alertas?
TCK-00071,GLOBEX,2026-05-07,Q2-2026,Chat,Solicitud de función,P4,En curso,4,Tableros con métricas en tiempo real,Queremos tableros con métricas en tiempo real. La actualización actual cada hora se queda corta para nuestro caso de uso.
TCK-00072,GLOBEX,2026-06-28,Q2-2026,Correo,Solicitud de función,P4,En curso,5,Necesitamos exportar reportes a Excel,Nuestro equipo necesita exportar los tableros de Nimbus Connect (API) a Excel y PDF de forma nativa. Hoy lo hacemos manualmente y consume mucho tiempo. ¿Está en el roadmap?
